ligand,siRNA,Normalized_CellCount_Run1,Normalized_CellCount_Run2,Normalized_CellCount_Run3,Median_Proliferation,Proliferation_SD,Run1_Motility,Run2_Motility,Run3_Motility,Median_msd,msd_SD,Run1_Cyto,Run2_Cyto,Run3_Cyto,Median_cyto,cyto_SD,Run1_neighbors,Run2_neighbors,Run3_neighbors,Median_neighbors,neighbors_SD,Normalized_Similarity_Run1,Normalized_Similarity_Run2,Normalized_Similarity_Run3,Median_similarity
EGF,JUN,0.8546360781782779,0.8114390129579072,0.8265062292588377,0.8265062292588377,0.021925236034238866,0.6174146010775544,0.9068943954341678,0.4578763111231805,0.6174146010775544,0.2276211242908641,1.3551739719837326,1.642754662840746,1.5013812154696131,1.5013812154696131,0.14379711600210385,1.0005308661564756,0.99332730237355,0.980061293036924,0.9913064871889832,0.010383334071087129,0.7312426312240748,0.7405435801665095,0.9186986354362526,0.7405435801665095
IFNG,JUN,0.8548068071112548,0.8793683549401526,0.8739206549054942,0.8739206549054942,0.012898877502326869,0.8399161832103296,0.6097809642057845,0.5962481363225229,0.6097809642057845,0.1369424900769822,1.2639296187683284,1.512481644640235,1.5173501577287063,1.512481644640235,0.14492744250813341,0.9511972992510446,1.0079999715620134,0.9681456137847771,0.9757809615326117,0.029160929286282992,0.9734004746901987,0.9138622629830094,1.018781171328346,0.9734004746901987
OSM,JUN,1.1204996618530454,0.9382124241213582,0.8123929950880254,0.9382124241213582,0.15491335420548996,0.7073625353998957,0.5299835772373694,0.5147924956586928,0.5299835772373694,0.10706484325264581,1.0806100217864925,1.0193103448275862,1.3098360655737704,1.0806100217864925,0.1531379682730158,1.008166594637539,1.0400578517568029,1.071194476864509,1.0398063077529502,0.03151469403775962,0.7639228784872264,0.7026580605550855,0.6882913043829115,0.7026580605550855
EGF,JUNB,0.8464089966989254,0.8721446256468416,0.8804652658428379,0.8721446256468416,0.017754741707586424,0.9930707583272276,0.8044365257785441,0.7296097138137133,0.8044365257785441,0.13576551320457078,1.0109409190371992,1.0959949141767324,1.0586124401913874,1.0586124401913874,0.04263059421670264,0.9221023030031732,0.9530955421099124,0.9617779347978512,0.9456585933036457,0.020857135355484262,1.083764273354496,0.982357568262896,1.2933711469090117,1.083764273354496
IFNG,JUNB,0.9155790273567996,0.7934408991725235,0.8750420922096646,0.8750420922096646,0.062208949212266974,1.0145135520940234,0.7979617097080018,0.8871774070779758,0.8871774070779758,0.1088336918770554,1.0454765360425735,1.186153846153846,1.2530864197530864,1.186153846153846,0.10596535503255576,0.9344951156850438,0.9785969612508472,0.935548951,0.9495470093119637,0.025163513724365733,0.8916591092628033,0.9187083200807056,1.1156577462602282,0.9187083200807056
OSM,JUNB,0.8963237108314828,0.767802308676163,0.9695949131881896,0.8963237108314828,0.10214913537120951,0.8659691692110166,0.6457222052159607,0.9101289232518366,0.8659691692110166,0.14163904921106582,1.080168776371308,1.0698005698005697,1.1319218241042346,1.080168776371308,0.03327894202395034,0.9313246399896348,0.9030113782843646,0.9878432912086288,0.9407264364942094,0.043190377351124846,0.7178484345217044,1.004774538003976,0.7497276665738153,0.7497276665738153
EGF,TP73,0.8169372553702761,0.7015014683768114,0.883446424946425,0.8169372553702761,0.09206235004751587,0.8523324027513209,0.7530910155366448,0.8572494838062399,0.8523324027513209,0.05876792937005433,1.2015732546705995,1.2745625841184387,1.0299089726918076,1.2015732546705995,0.12559953390613648,0.9787847774089182,0.8004536027916721,0.8899780160278504,0.8897387987428136,0.08916582797671863,0.9573477873959708,1.090138664003213,1.4908186465866278,1.090138664003213
IFNG,TP73,0.8141008606063084,0.7508944496302148,0.7786795406928376,0.7786795406928376,0.03167999257746527,0.7811010456276953,0.8305044401317035,0.792560006862522,0.792560006862522,0.025857891114123812,1.2170582226762,1.160824742268041,1.1412429378531073,1.160824742268041,0.039356508982560434,0.9827471772798312,0.8806156906533792,0.9528079915861818,0.9387236198397974,0.05250225981565031,1.222248290749639,1.0971759492362505,0.6399312180806253,1.0971759492362505
OSM,TP73,0.9203716817454404,0.6633581462979901,0.7397333324426973,0.7397333324426973,0.13198443071100993,1.0484307201210803,1.235256920733014,1.007306114951402,1.0484307201210803,0.12148856752930746,1.0727496917385944,1.1322869955156951,1.000786782061369,1.0727496917385944,0.06584787651447416,0.9494237567018262,0.7769797336338238,0.8835574598204836,0.8699869833853778,0.08701927169297764,1.0773041999343165,0.8701989717836675,0.9822798087403376,0.9822798087403376
EGF,CEBPB,0.6520214968344527,0.5109199662910148,0.6800247937836058,0.6520214968344527,0.09063688473153204,1.210427267370047,1.1774796608208598,1.1018952832388051,1.1774796608208598,0.05564430862069476,2.197148475909538,2.496635262449529,1.869960988296489,2.197148475909538,0.313439157638775,0.9710335601607116,0.890391137,0.9367022352560354,0.932708977472249,0.04046924368089482,1.087891509618755,0.9516112018168952,1.3484438177076927,1.087891509618755
IFNG,CEBPB,0.7777768647333865,0.5904671033170418,0.651085629928453,0.651085629928453,0.09557738702816088,1.4322967215005125,0.9002692383739762,1.2384854374298924,1.2384854374298924,0.2692601758952638,1.9244126659856997,2.6460481099656357,2.225988700564972,2.225988700564972,0.36243521859469635,1.0371165736370165,1.034055561443164,0.918975469,0.9967158680267268,0.06734255474466909,0.9895652076936468,0.8251648208792108,0.9728206377575032,0.9728206377575032
OSM,CEBPB,0.9145198171730088,0.6977710092759241,0.7783791461303214,0.7783791461303214,0.10955363965039971,1.8239544225231084,1.2930468628700815,1.524304074389958,1.524304074389958,0.26618698500396276,1.81134401972873,2.0433482810164425,1.6931549960660897,1.81134401972873,0.1781525373541376,1.0834075202192974,0.9854799456548043,1.1276888720403024,1.065525445971468,0.07277136195291845,1.1502402455492629,0.787980775222767,0.5053277709994063,0.787980775222767
EGF,SP1,0.4592252596710394,0.4039106393594809,0.467997371998577,0.4592252596710394,0.03474614241239306,1.3295450004921063,3.499545835623926,1.5434209069491014,1.5434209069491014,1.19590072500596,0.9624943515589696,1.1520803443328551,1.1740331491712708,1.1520803443328551,0.11631382634321072,0.9186120644293696,0.7153211914130722,0.7541425412718135,0.7960252657047517,0.10792319823548678,1.0553363929520296,1.0641688750622251,1.0509695133148655,1.0553363929520296
IFNG,SP1,0.5138555692210885,0.5174818124446845,0.49282892247017185,0.5138555692210885,0.013310612918519427,1.538302679924863,1.4266556216301998,1.589079552569295,1.538302679924863,0.08309120467204367,0.875366568914956,1.0572687224669604,1.1600946372239749,1.0572687224669604,0.14418254349692677,0.916743968469714,0.7358765163568612,0.8152674589941926,0.8226293146069226,0.09065818494209875,1.1206648762655749,0.931035279594443,1.1544503482628643,1.1206648762655749
OSM,SP1,0.5899749373433584,0.4437068586896512,0.4613534235361635,0.4613534235361635,0.07984281004780962,1.6887196855845876,1.2771114443734433,2.1114760140070152,1.6887196855845876,0.41719469725656044,0.949346405228758,0.9786206896551723,1.024590163934426,0.9786206896551723,0.037929319174719214,0.9000934466900709,0.9108298269558132,1.028614982206931,0.9465127519509383,0.07130497615916218,0.8104375069689389,0.7959829721403884,0.9882043273161184,0.8104375069689389
